File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,7,137,104,vroeg,prijs,van,TV,television.png,9,structured,uc,VOP,1370,1,televisie,1.295599578
Exp_EEG2.txt,2,7,138,14,gymleraar,blaast,op,fluitje,whistle.png,1,structured,c,SVP,710,1,,0.666666667
Exp_EEG2.txt,2,7,139,56,vader,arriveerde,met,bal,ball02.png,9,structured,uc,SVP,940,1,,0.847237362
Exp_EEG2.txt,2,7,140,33,spiegel,hangt,aan,muur,wall2.png,1,structured,c,SVP,770,1,,0.586666667
Exp_EEG2.txt,2,7,141,146,museum,penseel,landschap,schilderij,schilderij.png,3,unstructured,c,NO,770,1,,0.64
Exp_EEG2.txt,2,7,142,142,patrouille,badge,dief,politieagent,policeman.png,3,unstructured,c,NO,1229,1,,0.977224727
Exp_EEG2.txt,2,7,143,189,zebrapad,vingerhoed,heelal,mobieltje,mobile.png,7,unstructured,uc,NO,740,2,telefoon,0.706666667
Exp_EEG2.txt,2,7,144,43,drinkt,chocomelk,met,slagroom,slagroom.png,1,structured,c,VOP,1000,1,,0.826666667
Exp_EEG2.txt,2,7,145,114,snor,kin,sik,baard,beard.png,3,unstructured,c,NO,700,1,,0.632475628
Exp_EEG2.txt,2,7,146,138,koptelefoon,wattenstaafje,trommelvlies,oor,ear.png,3,unstructured,c,NO,680,1,,0.653333333
Exp_EEG2.txt,2,7,147,192,warmte,asbak,pedaal,olifant,elephant.png,7,unstructured,uc,NO,690,1,,0.64
Exp_EEG2.txt,2,7,148,106,stelletje,staarde,naar,water,water.png,9,structured,uc,SVP,780,1,,0.72
Exp_EEG2.txt,2,7,149,125,dooier,kip,omelet,ei,egg.png,3,unstructured,c,NO,680,1,,0.613333333
Exp_EEG2.txt,2,7,150,116,stuifmeel,honing,nectar,bijen,bijen.png,3,unstructured,c,NO,730,1,,0.653333333
Exp_EEG2.txt,2,7,151,120,trouwerij,sluier,jurk,bruid,bruid.png,3,unstructured,c,NO,0,1,,0.769998493
Exp_EEG2.txt,2,7,152,63,familie,speelde,bij,boom,tree.png,9,structured,uc,SVP,740,1,,0.666666667
Exp_EEG2.txt,2,7,153,176,beltoon,sla,achterzak,camera,camera.png,7,unstructured,uc,NO,700,1,,0.666385376
Exp_EEG2.txt,2,7,154,45,zoeken,schelpen,op,strand,beach.png,1,structured,c,VOP,690,1,,0.459159141
Exp_EEG2.txt,2,8,155,186,sluier,bagage,druppels ,koe,cow.png,7,unstructured,uc,NO,1070,1,,0.967805353
Exp_EEG2.txt,2,8,156,86,beschadigde,voet,van,microscoop,microscope.png,9,structured,uc,VOP,1440,0,telescoop,1.413333333
Exp_EEG2.txt,2,8,157,162,tsunami,lava,krater,vulkaan,volcano.png,3,unstructured,c,NO,620,1,,0.559004509
Exp_EEG2.txt,2,8,158,37,meisjes,spelen,met,pop,doll.png,1,structured,c,SVP,570,1,,0.546666667
Exp_EEG2.txt,2,8,159,143,pen,slijper,gum,potlood,pencil01.png,3,unstructured,c,NO,520,1,,0.493333333
Exp_EEG2.txt,2,8,160,50,zet,bloemen,in,vaas,vase01.png,1,structured,c,VOP,580,1,,0.546666667
Exp_EEG2.txt,2,8,161,93,verloor,pakket,van,puzzel,puzzle.png,9,structured,uc,VOP,900,1,,0.88
Exp_EEG2.txt,2,8,162,77,opa,ging,naar,kerk,church.png,9,structured,uc,SVP,710,1,,0.666666667
Exp_EEG2.txt,2,8,163,202,wol,larve,pink,schoen,shoe.png,7,unstructured,uc,NO,0,1,,0.546666667
Exp_EEG2.txt,2,8,164,83,had,pijn,aan,lip,lip.png,9,structured,uc,VOP,0,0,mond,0.986666667
Exp_EEG2.txt,2,8,165,178,schietschijf,wenkbrauw,honing,computer,computer.png,7,unstructured,uc,NO,0,1,,0.805792115
Exp_EEG2.txt,2,8,166,54,waste,handen,met,zeep,soap03b.png,1,structured,c,VOP,0,1,,0.733333333
Exp_EEG2.txt,2,8,167,88,jongen,sprong,over,muur,wall2.png,9,structured,uc,SVP,0,1,,0.746666667
Exp_EEG2.txt,2,8,168,128,klok,tijd,bandje,horloge,watch.png,3,unstructured,c,NO,0,1,,0.666666667
Exp_EEG2.txt,2,8,169,9,padvinder,liep,door,bos,forest.png,1,structured,c,SVP,800,1,,0.713482247
Exp_EEG2.txt,2,8,170,42,leraar,schreef,op,schoolbord,schoolbord.png,1,structured,c,SVP,840,1,,0.715366122
Exp_EEG2.txt,2,8,171,159,strijkstok,kin,snaar,viool,violin.png,3,unstructured,c,NO,0,0,gitaar,0.536398011
Exp_EEG2.txt,2,8,172,197,batterij,lucifer,tong,politieagent,policeman.png,7,unstructured,uc,NO,780,2,agent,0.749275869
Exp_EEG2.txt,2,8,173,2,kind,slaapt,in,bed,bed.png,1,structured,c,SVP,790,1,,0.746666667
Exp_EEG2.txt,2,8,174,175,software,vrucht,nek,bruid,bruid.png,7,unstructured,uc,NO,820,1,,0.693333333
